id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-60788,-6.7052326,-1.9661686,-5.0005183,-3.1780431,-4.254502,-5.0811133,-4.2447886,-0.8507004,6.3725877,1.0304142,-5.7516723,-3.761789,7.865257,0.8898201,-0.9848011,-7.1125793,-4.7940793,-2.152213,5.4104204,4.782468,6.982576,1.7802614,6.876199,4.450662,-4.919962,-6.592833,-7.428141,-5.7191944,3.1520226,2.7929175,5.142456,2.8261032,6.623201,2.557405,4.7047195,-0.091380686,-2.9343088,0.8026678
ata-60859,-18.878828,-0.26650214,-15.608989,-9.2887945,-18.036995,-11.871316,-19.929218,-5.689561,11.927623,3.7718337,-10.787434,-4.902769,12.164493,3.0803463,-5.2325196,-11.115705,-5.509938,-7.0534463,8.019285,11.019035,8.931052,5.999453,6.6899376,9.822779,-6.520115,-8.363866,-7.1993904,-7.1578712,3.717568,5.7672796,5.324384,5.0136285,7.8864017,3.426899,6.112136,-0.2410478,-3.777177,2.965889
ata-61149,-6.422485,0.012021882,-2.7797403,-2.4905734,-2.9500642,-6.510388,-2.3715332,0.33739826,4.446803,-0.36712936,-3.4557228,-4.431259,5.2204623,-0.14915803,1.2526973,-4.9503646,-4.4327884,0.715867,4.1177154,2.0728216,6.1452045,-1.0058066,7.593712,1.7320545,-3.2680802,-4.192179,-8.339763,-2.4721036,3.4160974,-0.38507727,5.265365,-0.19842497,5.597563,-0.22467706,2.1028976,-1.3671832,-2.8311713,-2.0517101
ata-61188,-7.137618,-0.0991467,-3.0596485,-1.9334644,-3.3908064,-6.8047547,-2.18807,-0.45803785,4.3288364,-0.49230695,-3.2051218,-4.2757835,5.5208173,-0.23151165,1.3537364,-5.1876545,-4.119888,0.5934513,4.547306,1.9699125,5.832828,-0.97998285,7.260453,1.930846,-3.6320455,-4.6152196,-8.138186,-2.6202185,3.5347664,0.13213836,5.667719,0.26025823,6.257147,0.43495262,2.8585467,-1.3522681,-3.2424912,-1.6726465
ata-62069,-6.8928785,-1.715939,-4.849017,-3.0449574,-4.96018,-5.1796575,-4.754363,-1.0681045,6.248795,1.6892266,-6.2889447,-4.2853537,8.054284,1.7574718,-1.4971398,-7.136981,-5.2826495,-2.401542,5.120493,5.3801947,7.589532,2.1696024,7.4162593,5.062841,-5.7310014,-6.6683025,-7.4855733,-5.754868,3.5706987,2.880792,5.562109,3.026954,7.1054306,2.5249355,4.9346023,-0.37496054,-3.5085914,0.87887573
ata-62128,-6.1314383,0.08266,-2.794886,-2.8300335,-2.6205213,-6.165071,-2.4139652,0.466029,4.348457,0.09639696,-3.8148952,-4.863019,5.948285,0.28362647,0.4867569,-5.2614985,-5.123503,0.488338,3.8840547,2.7098997,6.7219234,-0.55721194,7.8175335,2.444875,-3.7352817,-4.5524693,-8.416528,-3.1678922,3.5146227,0.43730038,5.0970616,0.35962507,5.1634393,0.28279704,1.8475066,-0.69674337,-2.7059944,-1.4318185
ata-63177,-7.375561,-2.1894968,-5.441794,-3.2111483,-5.1049886,-5.462059,-3.801731,-1.0665582,5.9232306,1.4620004,-6.165312,-4.7016435,7.9896054,1.5748479,-1.4453089,-6.726842,-5.4330645,-2.0626934,4.7974706,5.293896,7.62498,1.8937337,7.581771,4.856071,-5.5610776,-6.465386,-7.783341,-6.041677,4.0120125,2.6604493,5.874248,3.2887254,7.478026,2.5852323,5.3760643,-0.5118656,-3.7625124,0.9787452
ata-63219,-6.3007646,-1.6007979,-4.4209647,-3.2964013,-3.957938,-5.229957,-3.8965228,-0.30169594,5.8448954,0.3769515,-5.147578,-3.8073816,7.29211,0.6034413,-0.3895631,-6.7056828,-4.421532,-1.3570005,5.3042107,4.007912,6.4364495,1.2673523,6.737948,3.6450148,-4.2778125,-6.2206664,-7.130564,-4.239389,2.5890534,1.6988032,4.5017357,1.7379326,5.6307216,1.9196153,3.5174854,0.2459236,-2.3208501,0.19477159
ata-68690,-6.3236876,0.1601419,-2.8474815,-2.684956,-2.7128077,-6.4607463,-2.2520843,0.06899825,4.132803,0.0037201757,-3.7030535,-4.921563,5.622592,0.42881578,0.4573788,-4.974588,-5.1437516,0.60874236,3.7355049,2.6417918,6.808243,-0.7200588,7.9879317,2.2712102,-3.944366,-4.337768,-8.735067,-3.1287382,3.971603,0.30332035,5.6222386,0.45524782,5.79277,0.3214475,2.542084,-1.224729,-3.1634786,-1.5547386
ata-68744,-6.5505204,-0.6750932,-3.1739304,-2.6704268,-3.1394787,-6.038434,-2.658792,-0.10113834,5.372365,0.022677204,-4.37127,-4.4577127,5.929654,0.6654845,0.44192496,-5.287879,-5.1364226,0.11993093,4.235211,3.026568,6.5835238,0.044088896,7.5385685,2.750899,-3.9900587,-4.980483,-7.994584,-3.4066415,3.501083,0.6966522,5.306094,0.7108639,5.7293577,1.0304998,2.7720177,-0.85853314,-2.8150039,-1.1363698
