id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-60788,16.502836,6.0847316,-6.586754,-14.247457,-16.024939,-1.9800828,-18.32459,-6.104687,15.942405,4.112824,-14.697606,-7.451222,-4.405044,-15.448302,17.645437,0.4850211,-13.4328,-11.070949,14.459324,-9.547064,17.258842,-2.2016854,-6.986004,-15.457482,1.5212598,-16.29244,-1.4059666,9.472064,2.1382885,14.729812,-10.292104,11.398354,5.985315,14.738412,18.188005,0.6792164,9.797294,14.763754
ata-60859,-26.727594,10.515005,25.961151,9.020884,22.706467,19.167418,22.627445,-10.164043,-3.1166806,-23.613604,13.652398,-5.7353663,17.188488,-0.6043252,-5.691566,16.580154,-6.31444,13.942454,-11.547923,-10.033212,2.1986637,16.635416,-11.886139,9.309592,-13.656276,0.15352328,-12.416634,5.1361074,12.847928,-4.1630135,-8.988232,-11.360653,15.011495,4.233948,13.706053,12.750483,-2.1007402,19.922703
ata-61149,29.8006,8.054413,-9.598461,-25.636353,-29.061085,-0.48985547,-29.898293,-5.9110494,27.195452,6.878158,-26.80622,-13.122013,-9.32846,-31.12996,35.93906,1.6366633,-23.2166,-23.805752,29.571543,-16.889492,33.204266,-8.265133,-13.362947,-31.459538,3.4260232,-31.71237,17.093407,25.500938,3.2786906,33.03838,-21.245567,24.854218,11.985108,30.664751,34.896263,-1.7259804,27.001509,22.703127
ata-61188,25.261415,12.237106,-6.7231116,-26.536215,-27.4501,4.728977,-28.436554,-9.155114,29.47117,0.8616538,-23.816559,-17.360878,-3.6919024,-31.010607,32.41301,6.8595834,-25.853455,-18.303617,27.038687,-15.063837,30.67468,-1.3856727,-18.89398,-31.066345,-7.6589365,-21.11267,10.6335745,29.752535,11.334224,28.900938,-24.7029,17.792948,17.162294,24.591032,29.873137,5.0097466,17.169895,26.691164
ata-62069,19.055145,7.544482,-4.8132515,-16.452085,-15.02924,3.19066,-14.597626,-8.323603,14.723252,-2.2097452,-8.496838,-11.205281,2.3557942,-15.289817,14.553061,6.5147443,-14.052904,-6.1213303,8.44616,-11.513369,16.943253,2.1894414,-11.847277,-12.203582,-4.851701,-16.231876,-0.77361554,14.122714,8.769044,12.303255,-14.556875,5.111158,11.748863,10.746979,16.80531,6.43652,4.898281,18.397036
ata-62128,27.569288,5.967692,-12.750215,-23.965591,-26.09474,-2.118983,-31.972456,-2.7721233,29.122814,7.957386,-30.586458,-12.180411,-14.639466,-28.554554,32.97856,-0.8418013,-20.548012,-26.970097,33.69154,-12.149042,29.610086,-7.8052177,-13.859392,-26.694738,0.6355613,-29.126574,13.5634985,24.027563,4.0578694,29.528233,-13.816799,28.338943,5.7841735,30.744743,31.391071,-8.292565,23.45038,21.78604
ata-63177,15.333253,10.690308,-1.0111201,-17.335903,-17.422758,6.7701287,-19.647434,-10.693769,21.893536,-2.953925,-9.480228,-16.749891,4.532736,-19.850845,18.519655,9.042454,-18.942404,-6.9610853,10.135384,-16.280602,20.580042,3.48954,-15.22135,-14.316757,-9.687054,-18.247452,-2.6605139,18.871677,13.46928,13.412743,-18.77939,3.7825744,16.027647,9.578583,18.082348,10.67672,2.672682,21.83267
ata-63219,20.14244,3.980169,-8.510816,-16.371367,-19.142931,-2.886656,-20.881916,-4.3300915,19.140602,5.564224,-18.629995,-8.150311,-6.935208,-18.392864,20.937801,-1.0815448,-14.158842,-14.372379,18.307833,-9.817752,19.945383,-5.025289,-7.3157873,-19.301289,2.9175892,-19.083076,9.76864,14.650789,0.5506282,19.628227,-11.588226,16.01274,5.1568723,19.525866,21.736567,-2.1362112,14.1154175,15.038139
ata-68690,27.172014,7.9863195,-12.075981,-25.817272,-26.651798,-0.2535309,-32.73629,-4.409465,28.805878,5.6625843,-29.107992,-13.641909,-7.0071177,-27.835033,32.556686,1.6554658,-22.301188,-20.389008,25.000225,-19.290369,30.291626,-5.8898444,-15.881482,-27.033014,-1.4105418,-29.890968,12.054277,25.853935,6.5269647,29.135809,-21.635859,19.348917,13.772679,26.120361,30.970644,1.4807558,21.98157,23.428734
ata-68744,28.61831,8.509994,-9.797382,-24.637123,-28.064041,0.050062787,-30.835228,-6.0919266,26.826725,5.54981,-26.232044,-14.230469,-8.622898,-28.26375,30.89818,0.7689503,-21.034756,-21.610744,24.372875,-17.040276,28.089952,-6.4607935,-17.841745,-26.245504,-0.5899695,-27.726526,10.832603,23.847235,4.96273,27.322268,-20.06877,21.202106,11.772822,27.220894,31.418213,-1.001809,21.233337,20.495981
ata-68758,15.092781,4.3429327,-4.840002,-14.116888,-16.649107,0.46749723,-16.169779,-3.9036899,17.564306,1.9717877,-14.461856,-10.367184,-3.3933322,-19.063406,21.015574,2.0752637,-12.710023,-15.478032,18.25546,-7.1672454,19.462412,-1.8926948,-10.431296,-16.269321,-1.3217641,-18.100552,6.1492686,15.862602,4.4513283,18.213236,-13.723878,12.679951,8.330746,17.54837,19.854313,-4.2285028,15.910871,12.169616
ata-68773,27.520199,9.498472,-10.397219,-26.405039,-28.036718,1.5278777,-30.650816,-8.813735,29.052263,4.190725,-27.552477,-15.456571,-6.6012383,-29.300486,32.502377,3.0719264,-23.487953,-20.736858,25.990294,-18.467037,30.903923,-4.8772936,-16.47826,-28.379696,-1.467214,-30.961435,12.44908,26.961805,7.623206,29.582624,-21.826708,20.7225,13.706686,27.295534,32.13334,1.0360553,21.11956,24.816282
ata-68784,28.26799,0.30116844,-14.376242,-21.632751,-28.17356,-6.099192,-33.483124,-0.22558829,29.969528,12.225708,-32.24343,-9.384526,-14.067769,-25.373377,31.651196,-3.1696303,-18.757547,-29.601963,28.642033,-4.6636257,28.35468,-9.856548,-11.585616,-25.353231,2.1632552,-27.385296,13.726214,22.186718,2.3914015,30.37756,-14.118717,27.294205,4.7995243,31.180813,30.942389,-9.204536,24.132557,21.140982
ata-68807,9.976943,3.1282032,-1.0647651,-9.321509,-9.561275,0.625197,-9.603045,-4.947432,10.855555,1.7968723,-7.7960405,-5.9316425,-0.3711925,-10.905486,7.282242,5.240182,-8.552173,-4.92459,5.9266253,-6.5977564,10.117936,0.9159401,-7.0739927,-6.4889994,-2.4789186,-10.310382,0.9526063,8.710236,2.3968036,9.324404,-7.1028695,6.5540743,3.662145,9.44025,11.967994,-0.14650172,6.2476573,9.735037
ata-68893,25.700531,10.47652,-7.4253483,-25.135027,-26.969109,2.9642668,-28.287117,-7.7908645,28.401648,2.09033,-24.263645,-15.731082,-4.1215777,-29.429853,30.988684,5.786007,-24.140102,-17.884241,25.7457,-14.490748,30.127007,-2.5907247,-11.277917,-29.62233,4.9201007,-27.450853,16.911095,22.545895,1.466018,27.807693,-18.402788,21.212112,10.363797,26.207119,29.768673,-2.0874422,18.659145,24.118418
ata-68895,23.73558,6.3630342,-8.901582,-20.95232,-24.200485,-3.4279563,-23.653782,-2.325761,24.502363,6.356338,-23.287468,-11.449332,-8.9927435,-24.4951,26.805645,-2.6789443,-15.520958,-19.91472,20.633284,-18.82214,25.003834,-7.913749,-5.423501,-21.116768,5.9201107,-19.008816,12.499138,13.568879,-2.393005,20.199434,-8.913512,17.40623,2.0316236,19.567934,22.455666,-5.550307,18.874748,13.21879
ata-68901,22.50633,2.261856,-9.6229315,-17.607239,-21.925182,-5.7382345,-24.574598,-0.019237328,21.179976,10.15762,-23.966202,-6.2630086,-12.599656,-20.776842,26.07009,-5.992324,-14.314121,-22.418068,24.756203,-7.9803953,23.613867,-11.272823,-4.869115,-25.253778,8.177261,-22.79631,16.471468,16.040033,-4.571571,24.135698,-8.976537,21.85746,0.9511395,23.818466,23.495937,-9.483494,23.230074,11.895569
ata-68920,32.097927,1.2018083,-18.926203,-21.161963,-25.026615,-10.967142,-28.775473,3.6392171,24.697233,14.6239195,-29.345982,-4.312506,-17.936094,-22.991838,33.02294,-8.367128,-13.771648,-27.381857,31.466017,-6.7233124,29.620289,-14.5283165,-3.2473152,-30.31256,12.097353,-26.909248,20.7966,16.1999,-4.6023316,32.61865,-16.075819,30.33265,5.186775,35.08536,33.05588,-11.53525,31.969946,18.384148
ata-68929,23.394033,4.627819,-9.785951,-19.642841,-21.940409,-3.022099,-25.421173,-3.817124,21.848207,6.5934124,-21.982944,-9.154117,-8.501948,-21.879461,26.834305,-0.1471524,-17.61259,-18.652605,21.86718,-12.184409,23.798346,-5.6573334,-7.428345,-22.924215,4.787204,-21.74125,12.869597,15.961757,-0.27494437,21.483406,-12.163826,17.6682,5.8160706,21.363222,23.792412,-2.524333,16.015491,16.70204
ata-68930,30.332432,12.982926,-11.923331,-29.682278,-33.17682,2.9931674,-35.33709,-8.528858,33.527866,3.7681534,-31.085726,-18.384424,-7.90767,-33.774582,36.692642,4.581565,-26.605276,-23.847786,29.811646,-20.190357,35.0861,-5.246427,-16.6941,-32.637287,0.5750853,-34.36554,15.620634,29.03704,6.486546,34.081738,-24.254997,24.33183,15.298096,31.375666,36.07533,1.2272027,24.344217,26.760218
ata-68953,25.298899,10.176002,-7.457098,-24.756298,-26.492022,3.0317743,-27.779873,-7.587171,27.967806,1.9973248,-23.977533,-15.011962,-4.1649866,-28.92143,30.836643,5.034805,-23.512157,-18.249224,25.23051,-14.05282,29.483505,-2.130891,-11.528877,-28.784561,4.43091,-26.548122,16.243208,22.249403,1.7780054,27.01295,-17.661308,20.921492,9.691595,25.883762,29.18262,-2.3799727,19.175442,24.10851
ata-69138,26.796278,6.291758,-11.742264,-23.487543,-24.988298,-1.0848922,-25.603933,-5.9286203,25.155384,4.648255,-21.601303,-12.248687,-7.1292,-25.06227,28.93875,1.0155398,-19.499193,-18.44054,22.320496,-14.646935,26.176449,-5.5511804,-14.821048,-24.037832,-1.4696004,-25.479671,8.970948,22.150064,5.866675,24.750538,-16.713644,18.732653,8.791898,23.679785,26.886108,-1.9040928,18.673552,19.773884
ata-69282,13.547207,9.090773,-0.23765785,-14.867973,-14.838678,5.8144107,-15.199736,-10.841996,15.504704,-4.3208613,-8.611558,-13.413288,4.533967,-16.952137,14.678243,9.645163,-16.85588,-4.32332,7.191176,-14.431599,17.92345,5.364414,-15.157658,-11.502234,-6.739214,-17.41563,0.5423848,18.202215,10.259076,15.884331,-17.595755,7.5287266,13.56688,14.027402,20.16616,6.426294,7.340405,20.408903
ata-70929,10.856472,3.0088294,-1.8037243,-9.406044,-10.146067,0.45212764,-10.289222,-4.950482,11.444878,2.204672,-8.4605255,-6.1358833,-0.8040625,-11.29878,11.052333,-0.36072436,-8.651735,-6.111009,10.205286,-6.630196,10.9477215,-0.148813,-7.0106416,-7.5063014,-2.1001031,-10.9505205,1.5508827,8.94519,1.9058468,10.10067,-7.0007277,7.4506574,3.3873072,10.309118,12.674802,-0.62247366,7.169504,10.033088
ata-70987,10.304934,10.23182,3.2406015,-12.727035,-13.025714,7.8597183,-7.043901,-11.397592,14.0771675,-7.031438,-5.5456476,-15.019044,7.3361406,-17.677855,16.772444,11.0752945,-19.365145,-4.1833725,7.5929513,-16.908785,14.537332,8.750946,-16.042202,-8.008289,-9.760564,-14.525015,-3.92736,16.121298,13.745176,11.459447,-15.769975,0.11038095,15.672745,3.3140318,12.606254,12.357776,-0.54527587,20.923367
ata-71549,20.663475,-1.853998,-10.293021,-13.232773,-17.454842,-4.5706716,-19.577177,-1.0472665,15.792938,7.0844874,-16.02756,-5.269059,-8.128797,-14.928658,18.789963,-3.591244,-10.2123375,-13.697599,15.469883,-6.271036,16.230366,-5.3793154,-4.564114,-17.037977,4.076055,-16.5847,9.630198,11.908088,-1.4409943,17.109144,-8.615327,14.186983,3.2329676,16.867826,18.238052,-2.4818015,12.521864,11.15073
ata-71704,13.382316,7.458664,-1.5967698,-13.7480755,-13.949443,3.9314137,-15.685727,-9.274879,13.269105,-3.4272656,-6.7983894,-11.274081,8.473905,-9.839882,12.704132,8.430339,-14.288755,-3.4733958,6.448915,-11.360297,15.49506,3.7294366,-10.24299,0.36206132,-8.716109,-6.48544,-5.2652183,8.532106,10.371509,1.707119,-10.223415,-5.015129,11.074231,-1.5240407,4.7176104,11.712907,-9.12531,11.168059
