id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-116,-1.6228322982788086,1.7513833045959473,-1.5827983617782593,1.3562058210372925,-1.5207970142364502,1.1757856607437134,-1.4713128805160522,1.0884877443313599,-1.4507783651351929,1.0510913133621216,-1.4442493915557861,1.0341187715530396,-1.4411450624465942,1.0252710580825806,-1.4395935535430908,1.0208470821380615,-1.4388172626495361,1.0186349153518677,-1.4384294748306274,1.0175292491912842
a-117,-0.23549941182136536,0.858379065990448,-1.0161805152893066,1.0402631759643555,-1.278541088104248,1.0138694047927856,-1.3602497577667236,1.0131832361221313,-1.398346185684204,1.0121346712112427,-1.4171987771987915,1.015752911567688,-1.427474021911621,1.0167893171310425,-1.4327129125595093,1.0168596506118774,-1.4353774785995483,1.0166412591934204,-1.4367094039916992,1.01653254032135
a-118,-1.0626752376556396,1.2703830003738403,-1.3256391286849976,1.1231858730316162,-1.3932641744613647,1.0598845481872559,-1.4159654378890991,1.0395268201828003,-1.4264990091323853,1.030151128768921,-1.4321081638336182,1.0240579843521118,-1.4350205659866333,1.0205475091934204,-1.4364804029464722,1.018772006034851,-1.4372611045837402,1.0175977945327759,-1.437651515007019,1.0170105695724487
a-119,-2.020695209503174,0.887320339679718,-1.7574058771133423,0.9306079149246216,-1.5992237329483032,0.9993205070495605,-1.5180929899215698,1.0270448923110962,-1.4754258394241333,1.021164059638977,-1.4563981294631958,1.0195369720458984,-1.4471657276153564,1.0182870626449585,-1.442549467086792,1.0176621675491333,-1.4402871131896973,1.0170897245407104,-1.439164400100708,1.0167564153671265
a-12,-1.281286358833313,0.1975303590297699,-1.39322030544281,0.8707355856895447,-1.4089560508728027,0.970642626285553,-1.420796275138855,0.9858124256134033,-1.4241129159927368,0.9908053874969482,-1.4290598630905151,1.0016378164291382,-1.433496117591858,1.009337306022644,-1.4357147216796875,1.0131871700286865,-1.4368659257888794,1.0148743391036987,-1.4374535083770752,1.0156488418579102
a-120,-1.639739751815796,1.4748318195343018,-1.603237509727478,1.304535150527954,-1.5494248867034912,1.18622887134552,-1.4939247369766235,1.1077384948730469,-1.4621418714523315,1.0601353645324707,-1.4496186971664429,1.0379456281661987,-1.4437758922576904,1.0274913311004639,-1.4409016370773315,1.0219982862472534,-1.4394713640213013,1.019210696220398,-1.4387565851211548,1.0178171396255493
a-121,-0.25521087646484375,0.8764393329620361,-0.9005070924758911,0.9793943762779236,-1.2261568307876587,0.9505451917648315,-1.339129090309143,0.96733558177948,-1.38232421875,1.0004465579986572,-1.4088259935379028,1.0101683139801025,-1.4234338998794556,1.0132957696914673,-1.4307376146316528,1.0148595571517944,-1.434389352798462,1.0156413316726685,-1.4362154006958008,1.0160322189331055
a-122,-0.78499436378479,0.5748896598815918,-1.139622449874878,0.8302087783813477,-1.3778351545333862,0.9584205150604248,-1.4129458665847778,0.955254852771759,-1.4223092794418335,0.9825481176376343,-1.424540638923645,0.995017409324646,-1.4308959245681763,1.005630612373352,-1.4344148635864258,1.0113340616226196,-1.4362199306488037,1.0139240026474,-1.4371304512023926,1.015173316001892
a-123,-1.2942790985107422,1.1494837999343872,-1.4318934679031372,1.125487208366394,-1.4430372714996338,1.076098084449768,-1.4348646402359009,1.0580908060073853,-1.433038592338562,1.03667151927948,-1.4335756301879883,1.025073766708374,-1.4357545375823975,1.0210555791854858,-1.4368749856948853,1.0188679695129395,-1.4374583959579468,1.0176457166671753,-1.4377497434616089,1.0170345306396484
a-124,-1.6779030561447144,1.4947487115859985,-1.5890920162200928,1.3418246507644653,-1.4991320371627808,1.187059998512268,-1.4600337743759155,1.0991477966308594,-1.4443720579147339,1.0554782152175903,-1.4407539367675781,1.0379703044891357,-1.4392789602279663,1.0277825593948364,-1.438625693321228,1.022296667098999,-1.4383337497711182,1.0193599462509155,-1.438187599182129,1.017891526222229
a-125,-1.5507644414901733,0.48188871145248413,-1.576055884361267,0.8600809574127197,-1.501476526260376,0.9006727933883667,-1.4674221277236938,0.9505078792572021,-1.4493147134780884,0.9809926748275757,-1.4431145191192627,0.9984091520309448,-1.440577745437622,1.007416009902954,-1.4393093585968018,1.011919617652893,-1.4386754035949707,1.0141713619232178,-1.4383585453033447,1.015297293663025
a-126,-1.722485065460205,1.1936793327331543,-1.6654973030090332,1.183516502380371,-1.572972059249878,1.0989292860031128,-1.4980956315994263,1.05422842502594,-1.465131163597107,1.0324723720550537,-1.4515414237976074,1.0247026681900024,-1.444791316986084,1.0205628871917725,-1.4414165019989014,1.0184930562973022,-1.439728856086731,1.0174580812454224,-1.43888521194458,1.0169404745101929
